1.051282051282051294e-01 1.032786885245901704e-01 1.578947368421052544e-01 1.473684210526315652e-01 5.700000000000000000e+01 9.500000000000000000e+01
1.073170731707317055e-01 1.024390243902438963e-01 1.746031746031745935e-01 1.458333333333333426e-01 6.300000000000000000e+01 9.600000000000000000e+01
9.268292682926829174e-02 1.016260162601625994e-01 6.779661016949152519e-02 1.505376344086021556e-01 5.900000000000000000e+01 9.300000000000000000e+01
1.170731707317073239e-01 1.048780487804878009e-01 2.500000000000000000e-01 1.612903225806451568e-01 5.600000000000000000e+01 9.300000000000000000e+01
1.060975609756097532e-01 1.097560975609756101e-01 2.753623188405797118e-01 2.842105263157894690e-01 6.900000000000000000e+01 9.500000000000000000e+01
1.076923076923076983e-01 1.040983606557377011e-01 1.803278688524590223e-01 1.562500000000000000e-01 6.100000000000000000e+01 9.600000000000000000e+01
1.195121951219512146e-01 1.008130081300813025e-01 1.333333333333333315e-01 1.397849462365591267e-01 6.000000000000000000e+01 9.300000000000000000e+01
8.048780487804878259e-02 1.008130081300813025e-01 1.311475409836065642e-01 1.489361702127659504e-01 6.100000000000000000e+01 9.400000000000000000e+01
1.024390243902438963e-01 1.016260162601625994e-01 1.896551724137930939e-01 1.595744680851063912e-01 5.800000000000000000e+01 9.400000000000000000e+01
1.000000000000000056e-01 1.024390243902438963e-01 1.718750000000000000e-01 1.473684210526315652e-01 6.400000000000000000e+01 9.500000000000000000e+01
9.615384615384615918e-02 1.040983606557377011e-01 2.321428571428571508e-01 2.446808510638297796e-01 5.600000000000000000e+01 9.400000000000000000e+01
9.878048780487805325e-02 1.016260162601625994e-01 1.384615384615384692e-01 1.473684210526315652e-01 6.500000000000000000e+01 9.500000000000000000e+01
9.024390243902438713e-02 1.032520325203252071e-01 1.355932203389830504e-01 1.612903225806451568e-01 5.900000000000000000e+01 9.300000000000000000e+01
1.060975609756097532e-01 1.024390243902438963e-01 2.295081967213114804e-01 2.421052631578947401e-01 6.100000000000000000e+01 9.500000000000000000e+01
1.000000000000000056e-01 1.040650406504065040e-01 1.269841269841269771e-01 1.473684210526315652e-01 6.300000000000000000e+01 9.500000000000000000e+01
1.051282051282051294e-01 1.008196721311475363e-01 1.355932203389830504e-01 1.413043478260869457e-01 5.900000000000000000e+01 9.200000000000000000e+01
9.756097560975610095e-02 9.837398373983739785e-02 1.451612903225806550e-01 1.578947368421052544e-01 6.200000000000000000e+01 9.500000000000000000e+01
1.182926829268292623e-01 1.024390243902438963e-01 1.754385964912280604e-01 1.473684210526315652e-01 5.700000000000000000e+01 9.500000000000000000e+01
8.292682926829268719e-02 1.000000000000000056e-01 1.666666666666666574e-01 1.489361702127659504e-01 6.000000000000000000e+01 9.400000000000000000e+01
1.146341463414634193e-01 1.024390243902438963e-01 1.791044776119402882e-01 1.578947368421052544e-01 6.700000000000000000e+01 9.500000000000000000e+01
1.076923076923076983e-01 1.040983606557377011e-01 1.666666666666666574e-01 1.612903225806451568e-01 5.400000000000000000e+01 9.300000000000000000e+01
1.097560975609756101e-01 1.016260162601625994e-01 2.812500000000000000e-01 2.421052631578947401e-01 6.400000000000000000e+01 9.500000000000000000e+01
8.170731707317073489e-02 9.918699186991869476e-02 1.071428571428571369e-01 1.578947368421052544e-01 5.600000000000000000e+01 9.500000000000000000e+01
9.634146341463414864e-02 1.032520325203252071e-01 1.323529411764705899e-01 1.473684210526315652e-01 6.800000000000000000e+01 9.500000000000000000e+01
1.109756097560975624e-01 1.016260162601625994e-01 1.774193548387096864e-01 1.595744680851063912e-01 6.200000000000000000e+01 9.400000000000000000e+01
